PassengerId,Survived
869,0
870,1
871,0
872,1
873,1
874,1
875,0
876,0
877,0
878,1
879,0
880,0
881,1
882,0
883,0
884,0
885,1
886,1
887,0
888,1
889,0
890,1
891,0
892,1
893,0
894,1
895,0
896,0
897,1
898,1
899,0
900,1
901,0
902,1
903,1
904,0
905,1
906,0
907,1
908,0
909,1
910,1
911,0
912,0
913,0
914,1
915,1
916,0
917,0
918,1
919,1
920,0
921,0
922,0
923,0
924,0
925,1
926,0
927,0
928,0
929,1
930,1
931,1
932,1
933,0
934,0
935,0
936,1
937,0
938,1
939,0
940,1
941,0
942,0
943,1
944,0
945,1
946,1
947,0
948,0
949,0
950,0
951,0
952,1
953,1
954,1
955,0
956,1
957,0
958,1
959,0
960,0
961,0
962,1
963,0
964,1
965,0
966,1
967,0
968,0
969,0
970,1
971,0
972,0
973,0
974,0
975,0
976,0
977,1
978,1
979,1
980,0
981,0
982,0
983,1
984,1
985,1
986,1
987,0
988,1
989,0
990,0
991,1
992,0
993,1
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,1
1026,1
1027,1
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,1
1042,0
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,1
1053,0
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,1
1061,0
1062,1
1063,1
1064,0
1065,1
1066,0
1067,1
1068,1
1069,1
1070,0
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,0
1078,0
1079,1
1080,1
1081,0
1082,1
1083,1
1084,1
1085,0
1086,1
1087,0
1088,1
1089,0
1090,0
1091,1
1092,0
1093,1
1094,0
1095,0
1096,1
1097,1
1098,0
1099,0
1100,1
1101,0
1102,1
1103,0
1104,1
1105,1
1106,0
1107,1
1108,1
1109,0
1110,0
1111,0
1112,1
1113,0
1114,1
1115,0
1116,1
1117,0
1118,1
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,1
1129,1
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,1
1137,0
1138,1
1139,1
1140,0
1141,1
1142,0
1143,0
1144,0
1145,0
1146,1
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,1
1154,0
1155,0
1156,0
1157,1
1158,0
1159,1
1160,0
1161,0
1162,1
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,1
1172,0
1173,0
1174,1
1175,0
1176,0
1177,0
1178,0
1179,1
1180,1
1181,1
1182,1
1183,0
1184,0
1185,1
1186,0
1187,0
1188,0
1189,0
1190,1
1191,0
1192,1
1193,0
1194,0
1195,0
1196,0
1197,0
1198,0
1199,1
1200,0
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,0
1208,1
1209,1
1210,0
1211,1
1212,0
1213,1
1214,0
1215,1
1216,1
1217,0
1218,0
1219,1
1220,1
1221,0
1222,1
1223,0
1224,0
1225,1
1226,0
1227,0
1228,1
1229,0
1230,1
1231,1
1232,0
1233,1
1234,1
1235,0
1236,0
1237,1
1238,0
1239,0
1240,1
1241,1
1242,0
1243,0
1244,0
1245,0
1246,0
1247,0
1248,1
1249,1
1250,0
1251,1
1252,0
1253,0
1254,0
1255,0
1256,1
1257,0
1258,1
1259,0
1260,0
1261,0
1262,0
1263,1
1264,0
1265,0
1266,1
1267,0
1268,1
1269,0
1270,0
1271,0
1272,0
1273,0
1274,1
1275,1
1276,1
1277,1
1278,1
